latitude,longitude,name
35.6613882,139.7761893,デニーズ
35.6269249,139.7379208,けいすけラーメン
35.6276453,139.7373857,つばめグリル
35.6590378,139.3678439,洋麺屋五右衛門
35.6368922,139.4133764,Saizeria
35.6360494,139.3388906,とんかつ れんが亭
35.651234,139.3339976,Barmian
35.6846271,139.3465144,CoCo's
35.6341971,139.3303268,Barmian
35.684792,139.345731,じゅうじゅうカルビ
35.6592088,139.4173662,ガスト
35.6331156,139.5801065,ジョナサン
35.6228046,139.6089358,デニーズ
35.6184016,139.6190603,Big Boy
35.6021414,139.656272,ロイヤルホスト尾山台店
35.6637773,139.3574295,豆腐うかい
35.6498651,139.5654685,鯉寿司
35.6456761,139.5680941,華屋与兵衛
35.6632665,139.3368651,びっくりドンキー
35.669886,139.420867,サイゼリヤ
35.6342825,139.4446909,味の民芸
35.5614027,139.7229333,カレーうどん千吉
35.5694106,139.7310921,ガスト
35.6767582,139.4522024,びっくりドンキー
35.6768493,139.4511365,ガスト
35.6726214,139.7124736,粥 「喜喜」
35.6748355,139.7124552,ヘンドリックス・カリー・バー
35.627943,139.3913425,COCO's
35.6265233,139.3417954,椿屋
35.6267759,139.3421594,パンだパンダ
35.614828,139.3970888,COCO's
35.6429282,139.3401,万龍記
35.6716996,139.7131681,えさき
35.6523308,139.6605397,フォルクス 世田谷代田店
35.628144,139.397335,バーミヤン
35.6959603,139.7710923,シディーク
35.7649728,139.7354605,藍屋
35.6564594,139.6154891,デニーズ
35.6338955,139.6239242,デニーズ
35.6377698,139.6573563,デニーズ
35.6474335,139.7072906,ROYAL PALACE
35.7229473,139.7734461,パティシエ・イナムラショウゾウ
35.5539926,139.7407384,大阪すし江戸前すし宝屋
35.5537319,139.7407002,謝謝
35.5528757,139.7404298,中国料理五香
35.5525784,139.7406134,ガスト
35.7023838,139.5072036,鶴亀屋
35.7640853,139.7415629,中華料理　日新
35.6467717,139.6179452,あみやき亭
35.7011612,139.7411608,ロイヤルホスト
35.700928,139.741242,牛しゃぶ　ますだや
35.7002762,139.7400191,Le moccot
35.7002889,139.7398599,琴の富士
35.7007442,139.7397005,MATOI
35.7009543,139.7399015,ALBERATA
