latitude,longitude,name
35.7741292,139.5932786,大泉学園北
35.7283329,139.4779872,丸ポストレプリカ（使用不可）
35.6578738,139.6607204,郵便ポスト
35.7516446,139.5709745,こばやし文具
35.655617,139.335117,JR東日本支社前 (Post No.5-20)
35.654559,139.336857,子安郵便局前 (Post No.5-19)
35.648955,139.702007,Post box
35.6613527,139.6630712,郵便ポスト
35.736421,139.5916244,みどり地域集会場前
35.5975049,139.6601924,ポスト
35.7532692,139.6444935,ポスト2ー6
35.7617816,139.6493784,郵便ポスト3-8
35.692804,139.8983666,郵便ポスト
35.7399302,139.7141723,郵便ポスト
35.7316645,139.7098957,郵便ポスト
35.6751561,139.7659317,郵便ポスト
35.7456204,139.7201836,郵便ポスト
35.7471575,139.7154963,郵便ポスト
35.742752,139.7200959,郵便ポスト
35.7412435,139.7180143,郵便ポスト
35.6653837,139.7308191,郵便ポスト 地下1階
35.6646604,139.7305404,郵便ポスト
35.731323,139.712591,郵便ポスト
35.729883,139.7152379,郵便ポスト
35.7344113,139.7078315,郵便ポスト
35.7256186,139.7160816,郵便ポスト
35.6535398,139.7956269,郵便ポスト
35.6653967,139.7467811,郵便ポスト
35.7294903,139.7092375,郵便ポスト
35.7364292,139.7113649,郵便ポスト
35.6982211,139.7569054,郵便ポスト
35.6771011,139.7351465,郵便ポスト
35.6662381,139.747409,郵便ポスト
35.7386692,139.7112793,郵便ポスト
35.6585105,139.7031154,郵便ポスト
35.6894694,139.707749,郵便ポスト
35.7350474,139.6684039,郵便ポスト
35.6937407,139.6985253,郵便ポスト
35.728211,139.7121451,郵便ポスト
35.6786938,139.7734499,郵便ポスト
35.6214368,139.7498346,郵便ポスト
35.7294457,139.713259,郵便ポスト
35.6865578,139.774747,郵便ポスト
35.7674455,139.8477617,郵便ポスト
35.6789126,139.7413852,郵便ポスト
35.6561886,139.7000743,郵便ポスト
35.6570363,139.700997,郵便ポスト
35.7477525,139.7181606,郵便ポスト
35.746446,139.7189158,郵便ポスト
35.7505281,139.712623,郵便ポスト
35.7521283,139.7106129,郵便ポスト
35.7344641,139.7095532,郵便ポスト
35.6550227,139.7968373,郵便ポスト
35.7381563,139.717194,郵便ポスト
35.7304747,139.7140468,郵便ポスト
35.7604565,139.721937,郵便ポスト
35.7607736,139.7214836,郵便ポスト
35.6559087,139.7527335,郵便ポスト
35.6547449,139.7549944,郵便ポスト
35.6613892,139.793681,郵便ポスト
35.671066,139.7400136,郵便ポスト
35.7244208,139.7216273,郵便ポスト
35.7255189,139.7199077,郵便ポスト
35.6916243,139.7105962,郵便ポスト
35.6747246,139.7414561,郵便ポスト
35.7381336,139.7171955,郵便ポスト
35.7304025,139.7099957,郵便ポスト
35.7649808,139.851611,郵便ポスト
35.7661781,139.8483601,郵便ポスト
35.7483198,139.7021933,郵便ポスト
35.7356852,139.7162133,郵便ポスト
35.7371089,139.717464,郵便ポスト
35.6705971,139.7178904,郵便ポスト
35.6641847,139.7114222,輸出ポスト
35.7355769,139.7081883,郵便ポスト
35.7396415,139.7078106,郵便ポスト
35.7407322,139.7092863,郵便ポスト
35.6821955,139.7841033,郵便ポスト
35.6828555,139.7852749,郵便ポスト
35.7461675,139.7090987,郵便ポスト
35.7461505,139.7090639,郵便ポスト
35.7468215,139.6997882,郵便ポスト
35.743501,139.7043033,郵便ポスト
35.7448651,139.7066264,郵便ポスト
35.7427785,139.7076995,郵便ポスト
35.7514367,139.7097041,郵便ポスト
35.7497528,139.7097151,郵便ポスト
35.7465915,139.703124,郵便ポスト
35.7301697,139.7164921,郵便ポスト
35.7328831,139.7175695,郵便ポスト
35.7265133,139.7055039,郵便ポスト
35.7392421,139.7216272,郵便ポスト
35.6849777,139.7414588,半蔵門駅前局前
